Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Yearly Income,Per Capita Inc,User,Total_Credit_Limit,Num_Cards,CUR,Txn_Count,Total_Spend,Mean_Txn,Std_Txn,Max_Txn,CL_Quintile
Holden Taylor,26,70,1993,7,Male,349 First Drive,,Atlanta,GA,30318,33.78,-84.44,$24382,$49713,91776.0,763,1,49713.0,24382.0,56,13800.0,1,100.0,222,13153.09,59.248153153153154,76.48027688819819,567.95,1
Aiyana Abe,21,68,1998,4,Female,7914 Essex Boulevard,46.0,Toledo,OH,43623,41.66,-83.58,$21660,$44160,134173.0,696,3,44160.0,21660.0,57,30661.0,3,100.0,261,12858.32,49.2655938697318,43.834487744640725,344.67,3
Milani Merkel,46,59,1973,5,Female,524 Ocean Drive,87.0,Houston,TX,77056,29.76,-95.38,$95039,$193773,241571.0,660,1,193773.0,95039.0,58,53466.0,1,100.0,32692,1218202.49,37.26301511073046,145.66236625772535,2345.04,4
Princess Cooper,41,66,1979,2,Female,2079 Maple Drive,,Mount Union,PA,17066,40.38,-77.88,$14650,$29864,44902.0,717,2,29864.0,14650.0,59,13800.0,2,100.0,3992,205656.16999999998,51.51707665330661,62.382586074455176,489.0,1
Wyatt Davis,22,67,1997,7,Male,295 Valley Drive,,San Antonio,TX,78232,29.45,-98.5,$28135,$57367,115418.0,795,2,57367.0,28135.0,60,6268.0,2,100.0,76,5238.590000000001,68.9288157894737,158.79559025402423,877.81,1
Nathalie Faraday,63,58,1957,2,Female,2883 Ocean View Boulevard,1.0,Black Diamond,WA,98010,47.32,-121.99,$32697,$56635,13015.0,786,8,56635.0,32697.0,61,141942.0,8,9.169238139521777,15692,637582.0900000001,40.631027912312014,77.87730101661465,1434.73,5
Erik Chen,44,67,1975,3,Male,5125 Elm Drive,,Ogden,UT,84414,41.31,-111.96,$23165,$47227,151030.0,760,4,47227.0,23165.0,62,62011.0,4,100.0,13431,458884.98,34.16610676792495,61.896000146649534,741.36,4
Gatlin Morris,22,68,1997,10,Male,4098 Park Drive,8.0,Fort Worth,TX,76115,32.75,-97.33,$12051,$24574,80667.0,674,3,24574.0,12051.0,63,24673.0,3,100.0,69,3587.3199999999997,51.99014492753623,89.81431980485061,693.79,2
Eloise Bennett,29,65,1991,1,Female,892 Spruce Street,,Saint Albans,NY,11412,40.69,-73.75,$21283,$43397,42168.0,697,2,43397.0,21283.0,64,10500.0,2,100.0,12130,327657.41000000003,27.012152514427044,51.89722979635506,865.89,1
Leighton Wood,28,72,1991,6,Female,9977 Oak Avenue,,Oxford,MD,21654,38.68,-76.17,$28497,$58105,70254.0,688,3,58105.0,28497.0,65,73600.0,3,95.4538043478261,10304,701828.56,68.11224378881988,92.15038120045162,1241.52,5
Layne Butler,82,67,1937,6,Male,79 South Boulevard,,Gonzales,TX,78629,29.5,-97.44,$15092,$10869,1820.0,820,2,10869.0,15092.0,66,19064.0,2,9.546789760805707,30039,1136998.6800000002,37.850750024967546,54.29743624024178,2040.58,2
Janiyah Foster,90,66,1929,6,Female,145 River Drive,,Allentown,PA,18102,40.59,-75.47,$12427,$19893,1712.0,566,3,19893.0,12427.0,67,18307.0,3,9.351614136669035,10093,253031.33000000002,25.069982165857528,51.73920060306851,912.27,2
Jagger Braun,63,65,1956,8,Male,7605 Essex Boulevard,,Mount Vernon,OH,43050,40.39,-82.47,$18019,$36743,71719.0,612,2,36743.0,18019.0,68,19290.0,2,100.0,10902,363371.24,33.33069528526876,83.28928211107377,1469.03,2
Brianna Powell,49,70,1970,7,Female,480 Seventh Lane,1.0,Trenton,NJ,8610,40.22,-74.76,$22747,$46377,79980.0,719,3,46377.0,22747.0,69,55083.0,3,100.0,6250,310573.41000000003,49.691745600000004,84.13341823637549,701.25,4
Elle Clark,36,69,1983,10,Female,5506 Fifth Boulevard,8012.0,Gardena,CA,90248,33.88,-118.27,$24611,$50179,110515.0,743,1,50179.0,24611.0,70,17941.0,1,100.0,5190,396315.9,76.3614450867052,121.37147940524451,1449.29,2
Nathan Merkel,30,65,1989,11,Male,136 Spruce Street,,Petaluma,CA,94955,38.22,-122.55,$26748,$54537,121987.0,765,4,54537.0,26748.0,71,54501.0,4,100.0,7791,629030.39,80.73808111924015,102.47470640219335,3349.94,4
Kristopher Nelson,23,66,1996,12,Male,306 First Drive,62.0,Apopka,FL,32712,28.68,-81.51,$24155,$49255,6557.0,823,2,49255.0,24155.0,72,23729.0,2,27.632854313287535,97,4600.280000000001,47.42556701030929,67.33435488953494,535.52,2
Asher Ortiz,42,65,1977,10,Male,272 Burns Boulevard,,Summit Argo,IL,60501,41.77,-87.82,$15221,$31031,21853.0,744,7,31031.0,15221.0,73,72571.0,7,30.112579404996488,14028,502831.92000000004,35.844875962360994,61.69794119102832,1045.85,5
Tristian Walker,65,66,1955,1,Male,190 Sixth Drive,,Rockwall,TX,75032,32.92,-96.45,$34659,$70673,87605.0,714,4,70673.0,34659.0,74,62648.0,4,100.0,31268,2345025.45,74.99761577331458,83.4507317538508,1765.94,4
Emily Parker,87,57,1932,10,Female,8569 Wessex Boulevard,,Birmingham,AL,35211,33.52,-86.79,$13263,$16342,1758.0,747,5,16342.0,13263.0,75,26251.0,5,6.696887737609996,26125,606624.24,23.220066602870812,52.04851626173599,773.81,2
Dangelo Ortiz,22,65,1997,9,Male,385 Lexington Boulevard,4.0,Seminole,TX,79360,32.71,-102.65,$15183,$30961,42597.0,677,1,30961.0,15183.0,76,8492.0,1,100.0,107,4080.7000000000003,38.13738317757009,70.56017186037265,422.0,1
Ariana Cook,58,67,1961,3,Female,407 Park Lane,,Islandton,SC,29929,32.9,-80.93,$14864,$30305,23392.0,776,3,30305.0,14864.0,77,19000.0,3,100.0,10097,481917.68999999994,47.728799643458444,85.81155400860575,1425.27,2
Santana Myers,30,68,1989,3,Male,5142 Little Creek Street,,Edmond,OK,73034,35.67,-97.41,$33736,$68784,198417.0,696,4,68784.0,33736.0,78,70858.0,4,100.0,11152,473608.53,42.46848368005739,104.20615504899393,1725.71,5
Faye Walker,25,71,1994,8,Female,224 Mountain View Boulevard,,Kalispell,MT,59901,48.19,-114.38,$17040,$34745,26503.0,691,4,34745.0,17040.0,79,49003.0,4,54.08444380956268,4911,280796.86,57.17712482182854,74.8185794371735,637.99,4
Rebecca Gonzalez,18,67,2001,11,Female,4735 Fifth Avenue,1.0,Baton Rouge,LA,70808,30.44,-91.12,$31741,$64715,174664.0,740,3,64715.0,31741.0,80,62100.0,3,100.0,125,6473.240000000002,51.78592000000001,114.17542061999859,784.98,4
Nadia Perry,59,69,1961,2,Female,4793 North Street,17.0,Mars,PA,16046,40.69,-80.01,$39464,$80464,76261.0,727,3,80464.0,39464.0,81,81872.0,3,93.14661911276139,24927,2198957.26,88.2158807718538,133.84570277361286,5813.78,5
Lizbeth Baker,18,67,2002,2,Female,72 El Camino Boulevard,,Pittsburgh,PA,15220,40.43,-79.97,$24400,$49748,23161.0,748,1,49748.0,24400.0,82,18321.0,1,100.0,151,6711.910000000001,44.44973509933775,37.15836315350432,231.47,2
Bryan Fox,61,58,1958,11,Male,381 Fifth Lane,6.0,Ontario,CA,91764,34.07,-117.62,$16113,$41904,12545.0,655,4,41904.0,16113.0,83,44427.0,4,28.237333153262657,13780,458478.63,33.2713084179971,73.33536087658581,1136.82,4
Juliette Howard,54,70,1965,9,Female,393 Mountain View Lane,,Newport Coast,CA,92657,33.6,-117.82,$96516,$196784,437533.0,729,3,196784.0,96516.0,84,140883.0,3,100.0,12387,974955.21,78.70793654637927,148.46129289291218,4671.93,5
Bella Kelley,27,66,1992,3,Female,293 Wessex Street,2.0,Northville,MI,48168,42.4,-83.6,$49458,$100837,61377.0,687,2,100837.0,49458.0,85,82682.0,2,74.23260201736774,177,23059.699999999997,130.28079096045195,233.68821870138507,2226.9,5
Jordy Bailey,32,65,1987,6,Male,7276 Fourth Drive,,Fenton,MI,48430,42.8,-83.71,$25334,$51654,95454.0,600,4,51654.0,25334.0,86,47632.0,4,100.0,13233,1142979.23,86.37340210080858,87.12686627250501,1564.09,4
Amelia Fernandez,64,69,1955,6,Female,327 Lafayette Boulevard,457.0,Lancaster,OH,43130,39.72,-82.59,$18680,$38088,51679.0,691,2,38088.0,18680.0,87,23827.0,2,100.0,26176,1247061.6300000001,47.64141312652812,68.15491282131089,1354.53,2
Bjorn Schmidt,18,69,2001,8,Male,2846 Lake Avenue,,Welsh,LA,70591,30.23,-92.81,$18082,$36866,0.0,680,2,36866.0,18082.0,88,20121.0,2,0.0,158,6619.329999999999,41.89449367088607,76.59540012916025,805.46,2
Skylar James,52,70,1967,9,Male,2093 Ocean Street,,Oakland,CA,94606,37.78,-122.24,$18443,$37607,63689.0,749,5,37607.0,18443.0,89,55497.0,5,100.0,23376,593315.46,25.381393737166324,58.17617922785353,1410.55,4
Mae Farhad,49,66,1970,10,Female,981 Fifth Boulevard,,Fort Morgan,CO,80701,40.26,-103.79,$16910,$34480,58795.0,696,1,34480.0,16910.0,90,18702.0,1,100.0,896,33009.35,36.840792410714286,100.41871762628173,1727.58,2
Nikolai Cruz,43,66,1977,1,Male,18 Norfolk Boulevard,,Madison,WI,53716,43.07,-89.38,$23680,$48279,114254.0,719,2,48279.0,23680.0,91,44662.0,2,100.0,15157,564371.13,37.23501550438741,58.29978715099549,1121.79,4
Jared Hill,36,65,1983,7,Male,977 Littlewood Avenue,,Panama City,FL,32401,30.17,-85.67,$16133,$32896,69800.0,735,2,32896.0,16133.0,92,4968.0,2,100.0,8679,344417.02,39.68395206821062,89.84499132986485,1554.84,1
Jeremias Russell,18,71,2001,6,Male,993 Mountain View Avenue,,Perris,CA,92570,33.78,-117.33,$14667,$29909,42832.0,664,2,29909.0,14667.0,93,21790.0,2,100.0,104,1841.9899999999998,17.711442307692305,37.42164872252499,213.75,2
Aubrielle Roman,37,64,1982,12,Female,896 Rose Street,,Minneapolis,MN,55433,44.96,-93.26,$23278,$47464,83591.0,716,1,47464.0,23278.0,94,13700.0,1,100.0,6384,459896.08999999997,72.03886121553884,83.73179232110135,1308.86,1
Carla James,23,64,1996,5,Female,2418 Mill Drive,3999.0,San Jose,CA,95129,37.3,-122.0,$41750,$85128,108678.0,641,1,85128.0,41750.0,95,4200.0,1,100.0,4342,214602.32,49.424762782128056,101.29165645825671,1517.05,1
Kase Nguyen,54,69,1965,9,Male,3683 Fifth Street,7760.0,Mount Holly,NC,28120,35.3,-81.03,$22487,$45852,114746.0,615,2,45852.0,22487.0,96,11092.0,2,100.0,12867,425133.47000000003,33.04060542472993,60.191021708794935,890.98,1
Annalee Sanders,33,67,1986,7,Female,0 Elm Street,,Glendale,AZ,85301,33.53,-112.18,$13024,$26556,43042.0,840,2,26556.0,13024.0,97,13800.0,2,100.0,9282,350359.16000000003,37.746084895496665,63.69990663538805,828.21,1
Journee Collins,63,67,1956,11,Female,2302 Catherine Lane,,Hollywood,FL,33024,26.02,-80.16,$19712,$40194,107765.0,738,6,40194.0,19712.0,98,98179.0,6,100.0,31346,1371030.02,43.7385956740892,81.52920904493403,1848.78,5
Trent Davis,22,67,1998,2,Male,213 Rose Drive,,Irving,TX,75038,32.85,-96.96,$30475,$62135,75209.0,676,2,62135.0,30475.0,99,27496.0,2,100.0,121,6701.5,55.38429752066116,100.57945364526942,594.73,2
Zavier Phillips,48,65,1972,1,Male,8975 Littlewood Boulevard,,Cape Coral,FL,33914,26.63,-81.99,$19274,$39303,23650.0,702,7,39303.0,19274.0,100,117045.0,7,20.205903712247427,12348,580002.0,46.97133138969874,97.45023702627988,903.24,5
Ivory Peres,63,64,1956,3,Female,1389 Park Lane,,Waldorf,MD,20603,38.64,-76.9,$35114,$71593,132181.0,821,3,71593.0,35114.0,101,59097.0,3,100.0,20360,848933.2,41.696129666011785,91.05145226302099,1478.2,4
Ace Bailey,75,67,1944,12,Male,2890 Eighth Lane,,Maywood,IL,60153,41.88,-87.84,$15451,$22158,19101.0,681,5,22158.0,15451.0,102,35870.0,5,53.25062726512406,12700,730391.29,57.511125196850394,93.12781417481044,1043.75,3
Agustin Reyes,62,66,1957,6,Male,20 Littlewood Boulevard,5.0,Howard Beach,NY,11414,40.66,-73.84,$26481,$53996,98211.0,632,4,53996.0,26481.0,103,32393.0,4,100.0,12945,584271.88,45.13494631131711,107.62537460742598,2318.02,3
Hannah Chen,28,73,1991,10,Female,6413 Second Street,,Pensacola,FL,32505,30.44,-87.18,$12766,$26025,23971.0,723,4,26025.0,12766.0,104,50574.0,4,47.39787242456598,166,7088.62,42.702530120481924,105.00132263473768,861.55,4
Zahra Williams,25,69,1994,11,Female,611 Elm Lane,,Yonkers,NY,10710,40.94,-73.86,$31299,$63816,100128.0,775,1,63816.0,31299.0,105,46.0,1,100.0,44,580.12,13.184545454545455,22.83695106366648,91.0,1
Estelle Richardson,56,73,1964,1,Female,889 Martin Luther King Avenue,,Apex,NC,27502,35.72,-78.84,$32485,$66230,90248.0,742,3,66230.0,32485.0,106,93749.0,3,96.2655601659751,4332,366384.08,84.57619575253925,135.82853121062976,1220.18,5
